ext::framework::a::importer::Activator ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0 ; 14.0
org::eclipse::core::runtime::adaptor::BundleLocalizationImpl ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 169.0 ; 169.0 ; 169.0 ; 169.0 ; 169.0 ; 169.0 ; 169.0 ; 169.0 ; 169.0 ; 169.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0
org::osgi::framework::ServiceEvent ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ; -1 ; -1 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0
substitutes::z::Fz ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
circularity::test::Activator ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0 ; 8.0
org::eclipse::osgi::framework::internal::defaultadaptor::DefaultElementFactory ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; 7.0 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ; -1 ; -1 ; 22.0 ; 29.0 ; 30.0 ; 30.0 ; 30.0 ; 30.0 ; 30.0 ; 30.0 ; 30.0 ; 30.0 ; 30.0 ; 30.0 ; 31.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0
org::eclipse::osgi::internal::module::BundleConstraint ; -1 ; -1 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 22.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0 ; 3.0
